book_name,book_image,author,page,short_description,programming_language,concept,tool
Intel Galileo Networking Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/1/1/1198os_intel20galileo20networking20cookbook.jpg,By Marco Schwartz,174,Over 50 recipes that will help you use the Intel Galileo board to build exciting network-connected p...,C#,Networking,Galileo
OpenVPN Cookbook - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781786463128.png,By Jan Just Keijser,400,Discover over 90 practical and exciting recipes that leverage the power of OpenVPN 2.4 to help you o...,C#,Networking,OpenVPN
Troubleshooting OpenVPN,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b05404.png,By Eric F Crist,178,Get the solutions you need to troubleshoot any issue you may face to keep your OpenVPN up and runnin...,C#,Networking,OpenVPN
OpenVPN:  Building and Integrating Virtual Private Networks,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/1/9/190481185x.jpg,By Markus Feilner,270,Learn how to build secure VPNs using this powerful Open Source application,C#,Networking,OpenVPN
Getting Started with MariaDB,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/8/0/8096os_cover.jpg,By Daniel Bartholomew,100,MariaDB is growing in popularity as a “drop-in” replacement for MySQL. Now you can quickly learn how...,C++,Database Administration,MariaDB
Troubleshooting PostgreSQL,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/5/3/5314os.jpg,By Hans-Jürgen Schönig,164,Intercept problems and challenges typically faced by PostgreSQL database administrators with the bes...,C++,Database Administration,PostgreSQL
Mastering PostgreSQL 10,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b08773_cover.png,By Hans-Jürgen Schönig,428,Master the capabilities of PostgreSQL 10 to efficiently manage and maintain your database,C++,Database Administration,PostgreSQL
SAP HANA Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/7/6/7623en_sap20hana20cookbook.jpg,By Chandrasekhar Mankala,284,Your all-inclusive guide to understanding SAP HANA with practical recipes with over 50 recipes,C++,Database Administration,SAP Hana
Learning Embedded Linux Using the Yocto Project,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/7/3/7395os.jpg,By Alexandru Vaduva,334,Develop powerful embedded Linux systems with the Yocto Project components,C++,Embedded Systems,Yocto Project
Angular Test-Driven Development - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781786465474.png,By Md. Ziaul Haq,252,Enhance your testing skills to build powerful and fault-free applications in Angular v4,JavaScript,Application Testing,Angular
AngularJS Testing Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/3/7/3742os.jpg,By Simon Bailey,180,Eliminate volatile code by taking control and understanding how to test AngularJS applications,JavaScript,Application Testing,Angular
Backbone.js Testing,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/5/2/5248os.jpg,By Ryan Roemer,168,"If you dread the business of testing JavaScript and Backbone.js web applications, this book is your ...",JavaScript,Application Testing,Backbone.js
Getting Started with Grunt: The JavaScript Task Runner,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/0/6/0628os_getting20started.jpg,By Jaime Pillora,132,If you know JavaScript you ought to know Grunt – the Task Runner for managing sophisticated web appl...,JavaScript,Application Testing,Grunt
Jasmine JavaScript Testing - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/2/0/2041os.jpg,By Paulo Ragonha,134,Test your JavaScript applications efficiently using Jasmine and React.js,JavaScript,Application Testing,Jasmine
